0.3
Cite-DBLP_edges 44
ba_1k_2k_edges 5
c-fat200-1_edges 8
c-fat200-2_edges 5
c-fat200-5_edges 4
c-fat500-10_edges 4
c-fat500-1_edges 12
c-fat500-2_edges 9
c-fat500-5_edges 5
chameleon_edges 7
crocodile_edges 7
deezer_hr_edges 7
facebook_ego_edges 5
facebook_government_edges 7
facebook_politician_edges 7
facebook_tvshow_edges 10
mahindas_edges 6
netscience_edges 7
polblogs_edges 6
reed98_edges 5
squirrel_edges 6

0.5
Cite-DBLP_edges 44
ba_1k_2k_edges 5
c-fat200-1_edges 8
c-fat200-2_edges 5
c-fat200-5_edges 3
c-fat500-10_edges 4
c-fat500-1_edges 12
c-fat500-2_edges 8
c-fat500-5_edges 5
chameleon_edges 6
crocodile_edges 6
deezer_hr_edges 7
facebook_ego_edges 5
facebook_government_edges 7
facebook_politician_edges 7
facebook_tvshow_edges 11
mahindas_edges 6
netscience_edges 7
polblogs_edges 6
reed98_edges 4
squirrel_edges 6

0.7
Cite-DBLP_edges 44
ba_1k_2k_edges 5
c-fat200-1_edges 8
c-fat200-2_edges 5
c-fat200-5_edges 3
c-fat500-10_edges 3
c-fat500-1_edges 12
c-fat500-2_edges 8
c-fat500-5_edges 5
chameleon_edges 7
crocodile_edges 6
deezer_hr_edges 7
facebook_ego_edges 5
facebook_government_edges 6
facebook_politician_edges 7
facebook_tvshow_edges 11
mahindas_edges 5
netscience_edges 7
polblogs_edges 6
reed98_edges 4
squirrel_edges 6
